landUnit,soiltType,acid_depth,salinity,Landuse,lu_code,landsuitability
Cz>508,Cz,>50,8,vegetable,BHK,3
Cz>5012,Cz,>50,12,vegetable,BHK,4
Mno2,M,no,2,vegetable,BHK,3
Mno4,M,no,4,vegetable,BHK,3
Mno8,M,no,8,vegetable,BHK,3
Mno12,M,no,12,vegetable,BHK,2
M<502,M,<50,2,vegetable,BHK,2
M<504,M,<50,4,vegetable,BHK,3
M<508,M,<50,8,vegetable,BHK,3
M<5012,M,<50,12,vegetable,BHK,3
M>502,M,>50,2,vegetable,BHK,3
M>504,M,>50,4,vegetable,BHK,3
M>508,M,>50,8,vegetable,BHK,3
M>5012,M,>50,12,vegetable,BHK,2
Mn/cno2,Mn/c,no,2,vegetable,BHK,1
Mn/cno4,Mn/c,no,4,vegetable,BHK,2
Mn/cno8,Mn/c,no,8,vegetable,BHK,4
Mn/cno12,Mn/c,no,12,vegetable,BHK,4
Mn/c>502,Mn/c,>50,2,vegetable,BHK,1
Mn/c>504,Mn/c,>50,4,vegetable,BHK,2
Mn/c>508,Mn/c,>50,8,vegetable,BHK,4
Mn/c>5012,Mn/c,>50,12,vegetable,BHK,4
Pno2,P,no,2,vegetable,BHK,2
Pno4,P,no,4,vegetable,BHK,3
Pno8,P,no,8,vegetable,BHK,3
Pno12,P,no,12,vegetable,BHK,4
Sj1M<502,Sj1M,<50,2,vegetable,BHK,3
Sj1M<504,Sj1M,<50,4,vegetable,BHK,3
Sj1M<508,Sj1M,<50,8,vegetable,BHK,4
Sj1M<5012,Sj1M,<50,12,vegetable,BHK,4
Sj2P>502,Sj2P,>50,2,vegetable,BHK,3
Sj2P>504,Sj2P,>50,4,vegetable,BHK,3
Sj2P>508,Sj2P,>50,8,vegetable,BHK,3
Sj2P>5012,Sj2P,>50,12,vegetable,BHK,4
Sj2Pno2,Sj2P,no,2,vegetable,BHK,3
Sj2Pno4,Sj2P,no,4,vegetable,BHK,3
Sj2Pno8,Sj2P,no,8,vegetable,BHK,3
Sj2Pno12,Sj2P,no,12,vegetable,BHK,4
Sp2Mno2,Sp2M,no,2,vegetable,BHK,2
Sp2Mno4,Sp2M,no,4,vegetable,BHK,3
Sp2Mno8,Sp2M,no,8,vegetable,BHK,3
Sp2Mno12,Sp2M,no,12,vegetable,BHK,4
Czno2,Cz,no,2,sugarcan,LNC,2
Czno4,Cz,no,4,sugarcan,LNC,2
Czno8,Cz,no,8,sugarcan,LNC,2
Czno12,Cz,no,12,sugarcan,LNC,4
Czno2,Cz,>50,2,sugarcan,LNC,2
Czno4,Cz,>50,4,sugarcan,LNC,2
Czno8,Cz,>50,8,sugarcan,LNC,2
Czno12,Cz,>50,12,sugarcan,LNC,4
Mno2,M,no,2,sugarcan,LNC,1
Mno4,M,no,4,sugarcan,LNC,1
Mno8,M,no,8,sugarcan,LNC,1
Mno12,M,no,12,sugarcan,LNC,2
M<502,M,<50,2,sugarcan,LNC,1
M<504,M,<50,4,sugarcan,LNC,1
M<508,M,<50,8,sugarcan,LNC,3
M<5012,M,<50,12,sugarcan,LNC,3
M>502,M,>50,2,sugarcan,LNC,1
M>504,M,>50,4,sugarcan,LNC,1
M>508,M,>50,8,sugarcan,LNC,1
M>5012,M,>50,12,sugarcan,LNC,2
Mn/cno2,Mn/c,no,2,sugarcan,LNC,2
Mn/cno4,Mn/c,no,4,sugarcan,LNC,3
Mn/cno8,Mn/c,no,8,sugarcan,LNC,3
Mn/cno12,Mn/c,no,12,sugarcan,LNC,3
Mn/c>502,Mn/c,>50,2,sugarcan,LNC,2
Mn/c>504,Mn/c,>50,4,sugarcan,LNC,3
Mn/c>508,Mn/c,>50,8,sugarcan,LNC,3
Mn/c>5012,Mn/c,>50,12,sugarcan,LNC,3
Pno2,P,no,2,sugarcan,LNC,2
Pno4,P,no,4,sugarcan,LNC,3
Pno8,P,no,8,sugarcan,LNC,3
Pno12,P,no,12,sugarcan,LNC,3
Sj1M<502,Sj1M,<50,2,sugarcan,LNC,3
Sj1M<504,Sj1M,<50,4,sugarcan,LNC,2
Sj1M<508,Sj1M,<50,8,sugarcan,LNC,2
Sj1M<5012,Sj1M,<50,12,sugarcan,LNC,3
Sj2P>502,Sj2P,>50,2,sugarcan,LNC,1
Sj2P>504,Sj2P,>50,4,sugarcan,LNC,2
Sj2P>508,Sj2P,>50,8,sugarcan,LNC,3
Sj2P>5012,Sj2P,>50,12,sugarcan,LNC,4
Sj2Pno2,Sj2P,no,2,sugarcan,LNC,1
Sj2Pno4,Sj2P,no,4,sugarcan,LNC,2
Sj2Pno8,Sj2P,no,8,sugarcan,LNC,3
Sj2Pno12,Sj2P,no,12,sugarcan,LNC,4
Sp2Mno2,Sp2M,no,2,sugarcan,LNC,2
Sp2Mno4,Sp2M,no,4,sugarcan,LNC,3
Sp2Mno8,Sp2M,no,8,sugarcan,LNC,3
Sp2Mno12,Sp2M,no,12,sugarcan,LNC,4
Czno2,Cz,no,2,coconut,LNQ,1
Czno4,Cz,no,4,coconut,LNQ,1
Czno8,Cz,no,8,coconut,LNQ,1
Czno12,Cz,no,12,coconut,LNQ,4
Czno2,Cz,>50,2,coconut,LNQ,1
Czno4,Cz,>50,4,coconut,LNQ,1
Czno8,Cz,>50,8,coconut,LNQ,1
Czno12,Cz,>50,12,coconut,LNQ,4
Mno2,M,no,2,coconut,LNQ,1
Mno4,M,no,4,coconut,LNQ,1
Mno8,M,no,8,coconut,LNQ,1
Mno12,M,no,12,coconut,LNQ,2
M<502,M,<50,2,coconut,LNQ,1
M<504,M,<50,4,coconut,LNQ,1
M<508,M,<50,8,coconut,LNQ,4
M<5012,M,<50,12,coconut,LNQ,4
M>502,M,>50,2,coconut,LNQ,1
M>504,M,>50,4,coconut,LNQ,1
M>508,M,>50,8,coconut,LNQ,4
M>5012,M,>50,12,coconut,LNQ,4
Mn/cno2,Mn/c,no,2,coconut,LNQ,2
Mn/cno4,Mn/c,no,4,coconut,LNQ,2
Mn/cno8,Mn/c,no,8,coconut,LNQ,3
Mn/cno12,Mn/c,no,12,coconut,LNQ,3
Mn/c>502,Mn/c,>50,2,coconut,LNQ,2
Mn/c>504,Mn/c,>50,4,coconut,LNQ,2
Mn/c>508,Mn/c,>50,8,coconut,LNQ,3
Mn/c>5012,Mn/c,>50,12,coconut,LNQ,3
Pno2,P,no,2,coconut,LNQ,3
Pno4,P,no,4,coconut,LNQ,3
Pno8,P,no,8,coconut,LNQ,3
Pno12,P,no,12,coconut,LNQ,3
Sj1M<502,Sj1M,<50,2,coconut,LNQ,3
Sj1M<504,Sj1M,<50,4,coconut,LNQ,3
Sj1M<508,Sj1M,<50,8,coconut,LNQ,3
Sj1M<5012,Sj1M,<50,12,coconut,LNQ,3
Sj2P>502,Sj2P,>50,2,coconut,LNQ,2
Sj2P>504,Sj2P,>50,4,coconut,LNQ,3
Sj2P>508,Sj2P,>50,8,coconut,LNQ,4
Sj2P>5012,Sj2P,>50,12,coconut,LNQ,4
Sj2Pno2,Sj2P,no,2,coconut,LNQ,2
Sj2Pno4,Sj2P,no,4,coconut,LNQ,3
Sj2Pno8,Sj2P,no,8,coconut,LNQ,4
Sj2Pno12,Sj2P,no,12,coconut,LNQ,4
Sp2Mno2,Sp2M,no,2,coconut,LNQ,2
Sp2Mno4,Sp2M,no,4,coconut,LNQ,3
Sp2Mno8,Sp2M,no,8,coconut,LNQ,3
Sp2Mno12,Sp2M,no,12,coconut,LNQ,4
Czno2,Cz,no,2,rice_shrimp,LTM,3
Czno4,Cz,no,4,rice_shrimp,LTM,3
Czno8,Cz,no,8,rice_shrimp,LTM,3
Czno12,Cz,no,12,rice_shrimp,LTM,2
Czno2,Cz,>50,2,rice_shrimp,LTM,3
Czno4,Cz,>50,4,rice_shrimp,LTM,3
Czno8,Cz,>50,8,rice_shrimp,LTM,3
Czno12,Cz,>50,12,rice_shrimp,LTM,2
Mno2,M,no,2,rice_shrimp,LTM,2
Mno4,M,no,4,rice_shrimp,LTM,2
Mno8,M,no,8,rice_shrimp,LTM,2
Mno12,M,no,12,rice_shrimp,LTM,2
M<502,M,<50,2,rice_shrimp,LTM,2
M<504,M,<50,4,rice_shrimp,LTM,2
M<508,M,<50,8,rice_shrimp,LTM,2
M<5012,M,<50,12,rice_shrimp,LTM,4
M>502,M,>50,2,rice_shrimp,LTM,2
M>504,M,>50,4,rice_shrimp,LTM,2
M>508,M,>50,8,rice_shrimp,LTM,2
M>5012,M,>50,12,rice_shrimp,LTM,2
Mn/cno2,Mn/c,no,2,rice_shrimp,LTM,3
Mn/cno4,Mn/c,no,4,rice_shrimp,LTM,1
Mn/cno8,Mn/c,no,8,rice_shrimp,LTM,1
Mn/cno12,Mn/c,no,12,rice_shrimp,LTM,2
Mn/cno2,Mn/c,>50,2,rice_shrimp,LTM,3
Mn/cno4,Mn/c,>50,4,rice_shrimp,LTM,1
Mn/cno8,Mn/c,>50,8,rice_shrimp,LTM,1
Mn/cno12,Mn/c,>50,12,rice_shrimp,LTM,2
Pno2,P,no,2,rice_shrimp,LTM,2
Pno4,P,no,4,rice_shrimp,LTM,1
Pno8,P,no,8,rice_shrimp,LTM,2
Pno12,P,no,12,rice_shrimp,LTM,1
Sj1M<502,Sj1M,<50,2,rice_shrimp,LTM,2
Sj1M<504,Sj1M,<50,4,rice_shrimp,LTM,2
Sj1M<508,Sj1M,<50,8,rice_shrimp,LTM,3
Sj1M<5012,Sj1M,<50,12,rice_shrimp,LTM,3
Sj2P>502,Sj2P,>50,2,rice_shrimp,LTM,2
Sj2P>504,Sj2P,>50,4,rice_shrimp,LTM,1
Sj2P>508,Sj2P,>50,8,rice_shrimp,LTM,2
Sj2P>5012,Sj2P,>50,12,rice_shrimp,LTM,2
Sj2Pno2,Sj2P,no,2,rice_shrimp,LTM,2
Sj2Pno4,Sj2P,no,4,rice_shrimp,LTM,1
